epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,16253.1,1.26522,0.90443,1.17838,0.70395,0.8401,0.78905,0.52369,1.25298,0.75204,1.18915,0.007228,0.007228,0.007228
86,16443.8,1.26854,0.90569,1.18103,0.70403,0.83972,0.78921,0.52429,1.25275,0.75118,1.18893,0.007195,0.007195,0.007195
87,16634.7,1.26534,0.90073,1.17776,0.70315,0.84022,0.78906,0.52403,1.25276,0.75005,1.18874,0.007162,0.007162,0.007162
88,16824.9,1.26065,0.89714,1.17398,0.70455,0.84031,0.7892,0.5247,1.25234,0.74888,1.18811,0.007129,0.007129,0.007129
89,17015.7,1.25939,0.90089,1.17365,0.70459,0.84082,0.78936,0.52511,1.25212,0.74783,1.18767,0.007096,0.007096,0.007096
90,17206.1,1.2576,0.895,1.1692,0.70514,0.84303,0.78951,0.52503,1.25145,0.74753,1.187,0.007063,0.007063,0.007063
91,17396.3,1.26247,0.89482,1.17499,0.70422,0.84404,0.78955,0.52487,1.25109,0.7466,1.18667,0.00703,0.00703,0.00703
92,17586.3,1.25647,0.8945,1.17254,0.70514,0.84312,0.78927,0.52473,1.25078,0.74584,1.18622,0.006997,0.006997,0.006997
93,17776.5,1.26041,0.89536,1.17333,0.70465,0.84334,0.78922,0.52509,1.25053,0.74489,1.18583,0.006964,0.006964,0.006964
94,17966.5,1.26169,0.89207,1.17295,0.70428,0.84405,0.78907,0.52504,1.24993,0.74421,1.1852,0.006931,0.006931,0.006931
95,18156.6,1.26198,0.9008,1.17274,0.70489,0.84297,0.78947,0.52552,1.2495,0.74344,1.1847,0.006898,0.006898,0.006898
96,18346.9,1.25802,0.89651,1.1734,0.70634,0.84149,0.78975,0.52602,1.24885,0.74273,1.18428,0.006865,0.006865,0.006865
97,18537.2,1.25374,0.88583,1.16942,0.70309,0.84536,0.78946,0.52529,1.24874,0.74214,1.18428,0.006832,0.006832,0.006832
98,18727.2,1.25332,0.88617,1.16921,0.7047,0.8436,0.78957,0.5259,1.24845,0.74132,1.18388,0.006799,0.006799,0.006799
99,18917.5,1.24787,0.88291,1.16895,0.70403,0.84437,0.7897,0.52589,1.248,0.74062,1.18349,0.006766,0.006766,0.006766
100,19107.5,1.25046,0.88082,1.16686,0.70502,0.84499,0.78999,0.52589,1.24761,0.73973,1.18313,0.006733,0.006733,0.006733
101,19297.6,1.25203,0.88398,1.16816,0.70484,0.84487,0.78992,0.52627,1.24687,0.73896,1.1827,0.0067,0.0067,0.0067
102,19487.8,1.25349,0.87818,1.17039,0.70433,0.84689,0.78955,0.5266,1.24636,0.73879,1.18227,0.006667,0.006667,0.006667
103,19678,1.2485,0.88132,1.16655,0.70348,0.84782,0.78971,0.527,1.2461,0.73844,1.18213,0.006634,0.006634,0.006634
104,19868.6,1.25126,0.87735,1.16798,0.70339,0.84742,0.78936,0.52652,1.24555,0.73788,1.18172,0.006601,0.006601,0.006601
105,20058.6,1.24996,0.8854,1.17104,0.70409,0.84659,0.78945,0.52748,1.24488,0.73721,1.1811,0.006568,0.006568,0.006568
106,20248.8,1.24505,0.87702,1.16506,0.70461,0.8464,0.78958,0.52753,1.24469,0.73656,1.1809,0.006535,0.006535,0.006535
107,20439.1,1.24514,0.87726,1.16569,0.70564,0.84656,0.78952,0.52769,1.24433,0.73617,1.18039,0.006502,0.006502,0.006502
108,20629.5,1.24564,0.88075,1.16888,0.70553,0.84648,0.78987,0.52754,1.24394,0.73544,1.18016,0.006469,0.006469,0.006469
109,20819.7,1.24231,0.87142,1.16206,0.70553,0.84639,0.78997,0.52787,1.2436,0.7347,1.17984,0.006436,0.006436,0.006436
110,21010.1,1.24524,0.86637,1.16421,0.70486,0.84761,0.79005,0.52782,1.2429,0.73412,1.17919,0.006403,0.006403,0.006403
111,21200.1,1.241,0.86967,1.16309,0.70485,0.84698,0.78971,0.52796,1.24232,0.73358,1.17865,0.00637,0.00637,0.00637
112,21390.5,1.24075,0.86937,1.16209,0.70429,0.84714,0.78974,0.52791,1.24182,0.73297,1.17826,0.006337,0.006337,0.006337
113,21580.5,1.24148,0.86893,1.16275,0.70608,0.84624,0.78977,0.52794,1.24141,0.7324,1.17795,0.006304,0.006304,0.006304
114,21770.6,1.24147,0.86809,1.1624,0.70458,0.84784,0.78976,0.5284,1.24116,0.73235,1.17753,0.006271,0.006271,0.006271
115,21961.3,1.23597,0.86311,1.15822,0.70531,0.84855,0.78958,0.52825,1.24077,0.73212,1.17696,0.006238,0.006238,0.006238
116,22151.7,1.2429,0.86652,1.15845,0.7056,0.84855,0.7899,0.52855,1.24015,0.73192,1.17641,0.006205,0.006205,0.006205
117,22342.8,1.23834,0.86164,1.16153,0.707,0.84757,0.78969,0.52811,1.23984,0.73149,1.17611,0.006172,0.006172,0.006172
118,22532.7,1.23463,0.86636,1.15896,0.70702,0.84778,0.78985,0.52849,1.23933,0.73084,1.17571,0.006139,0.006139,0.006139
119,22722.7,1.23539,0.86192,1.15953,0.70651,0.84818,0.78972,0.52854,1.23886,0.73039,1.17521,0.006106,0.006106,0.006106
120,22912.8,1.23254,0.86465,1.15648,0.71086,0.84558,0.7903,0.5287,1.23834,0.72988,1.17466,0.006073,0.006073,0.006073
121,23103.1,1.23174,0.8567,1.157,0.7103,0.84518,0.79049,0.52911,1.23784,0.72934,1.17416,0.00604,0.00604,0.00604
122,23294.2,1.22959,0.85912,1.15528,0.70851,0.84632,0.7905,0.52906,1.23776,0.72897,1.17387,0.006007,0.006007,0.006007
123,23484.3,1.23086,0.85786,1.1543,0.71071,0.84506,0.79039,0.529,1.23746,0.72874,1.17353,0.005974,0.005974,0.005974
124,23674.3,1.22861,0.85502,1.15295,0.709,0.84712,0.7903,0.5294,1.2373,0.72864,1.1733,0.005941,0.005941,0.005941
125,23864.7,1.22721,0.85706,1.15277,0.7088,0.84785,0.79038,0.52932,1.23699,0.72852,1.17282,0.005908,0.005908,0.005908
